idx,q,V(q)
1,-7.0,-161.959
2,-6.858585858585859,-153.724
3,-6.717171717171717,-133.742
4,-6.575757575757576,-103.937
5,-6.434343434343434,-66.973
6,-6.292929292929293,-25.811
7,-6.151515151515151,16.71
8,-6.01010101010101,58.159
9,-5.8686868686868685,96.669
10,-5.7272727272727275,130.955
11,-5.585858585858586,160.251
12,-5.444444444444445,184.197
13,-5.303030303030303,202.731
14,-5.161616161616162,215.988
15,-5.020202020202021,224.231
16,-4.878787878787879,227.815
17,-4.737373737373737,227.182
18,-4.595959595959596,222.868
19,-4.454545454545455,215.54
20,-4.313131313131313,206.02
21,-4.171717171717171,195.295
22,-4.03030303030303,184.487
23,-3.888888888888889,174.784
24,-3.7474747474747474,167.311
25,-3.6060606060606064,162.974
26,-3.464646464646465,162.319
27,-3.3232323232323235,165.429
28,-3.181818181818182,171.911
29,-3.0404040404040407,180.966
30,-2.898989898989899,191.528
31,-2.757575757575758,202.414
32,-2.616161616161616,212.467
33,-2.474747474747475,220.65
34,-2.333333333333334,226.083
35,-2.191919191919192,228.049
36,-2.050505050505051,225.969
37,-1.9090909090909092,219.372
38,-1.7676767676767682,207.874
39,-1.6262626262626263,191.178
40,-1.4848484848484853,169.097
41,-1.3434343434343434,141.618
42,-1.2020202020202024,108.985
43,-1.0606060606060606,71.811
44,-0.9191919191919196,31.192
45,-0.7777777777777777,-11.208
46,-0.6363636363636367,-53.142
47,-0.4949494949494948,-91.885
48,-0.3535353535353538,-124.477
49,-0.21212121212121282,-148.1
50,-0.07070707070707094,-160.529
51,0.07070707070707005,-160.529
52,0.21212121212121193,-148.1
53,0.3535353535353529,-124.477
54,0.4949494949494948,-91.885
55,0.6363636363636358,-53.142
56,0.7777777777777777,-11.208
57,0.9191919191919187,31.192
58,1.0606060606060606,71.811
59,1.2020202020202024,108.985
60,1.3434343434343425,141.618
61,1.4848484848484844,169.097
62,1.6262626262626263,191.178
63,1.7676767676767682,207.874
64,1.9090909090909083,219.372
65,2.05050505050505,225.969
66,2.191919191919192,228.049
67,2.333333333333332,226.083
68,2.474747474747474,220.65
69,2.616161616161616,212.467
70,2.757575757575758,202.414
71,2.898989898989898,191.528
72,3.0404040404040398,180.966
73,3.1818181818181817,171.911
74,3.3232323232323235,165.429
75,3.4646464646464636,162.319
76,3.6060606060606055,162.974
77,3.7474747474747474,167.311
78,3.8888888888888893,174.784
79,4.030303030303029,184.487
80,4.171717171717171,195.295
81,4.313131313131313,206.02
82,4.454545454545453,215.54
83,4.595959595959595,222.868
84,4.737373737373737,227.182
85,4.878787878787879,227.815
86,5.020202020202019,224.231
87,5.161616161616161,215.988
88,5.303030303030303,202.731
89,5.444444444444445,184.197
90,5.585858585858585,160.251
91,5.727272727272727,130.955
92,5.8686868686868685,96.669
93,6.01010101010101,58.159
94,6.1515151515151505,16.71
95,6.292929292929292,-25.811
96,6.434343434343434,-66.973
97,6.575757575757574,-103.937
98,6.717171717171716,-133.742
99,6.858585858585858,-153.724
100,7.0,-161.959
